"arxiv_id","title","category"
"2512.20974v1","Generalised Linear Models in Deep Bayesian RL with Learnable Basis Functions","cs.AI"
"2512.20968v1","Mesh-Attention: A New Communication-Efficient Distributed Attention with Improved Data Locality","cs.AI"
"2512.20959v1","Can Agentic AI Match the Performance of Human Data Scientists?","cs.AI"
"2512.20958v1","ReACT-Drug: Reaction-Template Guided Reinforcement Learning for de novo Drug Design","cs.AI"
"2512.20957v1","One Tool Is Enough: Reinforcement Learning for Repository-Level LLM Agents","cs.AI"
"2512.20954v1","Reflection Pretraining Enables Token-Level Self-Correction in Biological Sequence Models","cs.AI"
"2512.20950v1","MultiMind at SemEval-2025 Task 7: Crosslingual Fact-Checked Claim Retrieval via Multi-Source Alignment","cs.AI"
"2512.20949v1","Neural Probe-Based Hallucination Detection for Large Language Models","cs.AI"
"2512.20941v1","A Multi-fidelity Double-Delta Wing Dataset and Empirical Scaling Laws for GNN-based Aerodynamic Field Surrogate","cs.AI"
"2512.20934v1","Transductive Visual Programming: Evolving Tool Libraries from Experience for Spatial Reasoning","cs.AI"
"2512.20932v1","Guardrailed Elasticity Pricing: A Churn-Aware Forecasting Playbook for Subscription Strategy","cs.AI"
"2512.20920v1","RevFFN: Memory-Efficient Full-Parameter Fine-Tuning of Mixture-of-Experts LLMs with Reversible Blocks","cs.AI"
"2512.20905v1","DiEC: Diffusion Embedded Clustering","cs.AI"
"2512.20902v1","Embodied AI-Enhanced IoMT Edge Computing: UAV Trajectory Optimization and Task Offloading with Mobility Prediction","cs.AI"
"2512.20898v1","DGSAN: Dual-Graph Spatiotemporal Attention Network for Pulmonary Nodule Malignancy Prediction","cs.AI"
"2512.20884v1","The Silent Scholar Problem: A Probabilistic Framework for Breaking Epistemic Asymmetry in LLM Agents","cs.AI"
"2512.20866v1","Lightweight framework for underground pipeline recognition and spatial localization based on multi-view 2D GPR images","cs.AI"
"2512.20861v1","Memory-Efficient Acceleration of Block Low-Rank Foundation Models on Resource Constrained GPUs","cs.AI"
"2512.20856v1","NVIDIA Nemotron 3: Efficient and Open Intelligence","cs.AI"
"2512.20848v1","Nemotron 3 Nano: Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning","cs.AI"
"2512.20845v1","MAR:Multi-Agent Reflexion Improves Reasoning Abilities in LLMs","cs.AI"
"2512.20831v1","Context-Sensitive Abstractions for Reinforcement Learning with Parameterized Actions","cs.AI"
"2512.20823v1","NotSoTiny: A Large, Living Benchmark for RTL Code Generation","cs.AI"
"2512.20822v1","MediEval: A Unified Medical Benchmark for Patient-Contextual and Knowledge-Grounded Reasoning in LLMs","cs.AI"
"2512.20806v1","Safety Alignment of LMs via Non-cooperative Games","cs.AI"
"2512.20798v1","A Benchmark for Evaluating Outcome-Driven Constraint Violations in Autonomous AI Agents","cs.AI"
"2512.20789v1","X-GridAgent: An LLM-Powered Agentic AI System for Assisting Power Grid Analysis","cs.AI"
"2512.20783v1","NULLBUS: Multimodal Mixed-Supervision for Breast Ultrasound Segmentation via Nullable Global-Local Prompts","cs.AI"
"2512.20778v1","Towards Optimal Performance and Action Consistency Guarantees in Dec-POMDPs with Inconsistent Beliefs and Limited Communication","cs.AI"
"2512.20761v1","TS-Arena Technical Report -- A Pre-registered Live Forecasting Platform","cs.AI"
"2512.20760v1","Generalization of RLVR Using Causal Reasoning as a Testbed","cs.AI"
"2512.20755v1","Bridging Efficiency and Safety: Formal Verification of Neural Networks with Early Exits","cs.AI"
"2512.20749v1","Stabilizing Multimodal Autoencoders: A Theoretical and Empirical Analysis of Fusion Strategies","cs.AI"
"2512.20747v1","A Physics Informed Neural Network For Deriving MHD State Vectors From Global Active Regions Observations","cs.AI"
"2512.20745v1","AgentMath: Empowering Mathematical Reasoning for Large Language Models via Tool-Augmented Agent","cs.AI"
"2512.20739v1","AI-Driven Green Cognitive Radio Networks for Sustainable 6G Communication","cs.AI"
"2512.20732v1","FEM-Bench: A Structured Scientific Reasoning Benchmark for Evaluating Code-Generating LLMs","cs.AI"
"2512.20724v1","SA-DiffuSeq: Addressing Computational and Scalability Challenges in Long-Document Generation with Sparse Attention","cs.AI"
"2512.20723v1","From artificial to organic: Rethinking the roots of intelligence for digital health","cs.AI"
"2512.20714v1","From Pilots to Practices: A Scoping Review of GenAI-Enabled Personalization in Computer Science Education","cs.AI"
"2512.20618v1","LongVideoAgent: Multi-Agent Reasoning with Long Videos","cs.AI"
"2512.20605v2","Emergent temporal abstractions in autoregressive models enable hierarchical reinforcement learning","cs.AI"
"2512.20595v1","Cube Bench: A Benchmark for Spatial Visual Reasoning in MLLMs","cs.AI"
"2512.20589v1","Leveraging High-Fidelity Digital Models and Reinforcement Learning for Mission Engineering: A Case Study of Aerial Firefighting Under Perfect Information","cs.AI"
"2512.20586v1","Automated stereotactic radiosurgery planning using a human-in-the-loop reasoning large language model agent","cs.AI"
"2512.20576v1","Performative Policy Gradient: Optimality in Performative Reinforcement Learning","cs.AI"
"2512.20573v1","Fail Fast, Win Big: Rethinking the Drafting Strategy in Speculative Decoding via Diffusion LLMs","cs.AI"
"2512.20569v1","Distilling to Hybrid Attention Models via KL-Guided Layer Selection","cs.AI"
"2512.20563v1","LEAD: Minimizing Learner-Expert Asymmetry in End-to-End Driving","cs.AI"
"2512.20548v1","Advancing Multimodal Teacher Sentiment Analysis:The Large-Scale T-MED Dataset & The Effective AAM-TSA Model","cs.AI"
"2512.20520v1","Benchmarking LLMs for Predictive Applications in the Intensive Care Units","cs.AI"
"2512.20482v1","SweRank+: Multilingual, Multi-Turn Code Ranking for Software Issue Localization","cs.AI"
"2512.20469v1","Bohrium + SciMaster: Building the Infrastructure and Ecosystem for Agentic Science at Scale","cs.AI"
"2512.20436v1","Dual-Encoder Transformer-Based Multimodal Learning for Ischemic Stroke Lesion Segmentation Using Diffusion MRI","cs.AI"
"2512.20423v1","Evasion-Resilient Detection of DNS-over-HTTPS Data Exfiltration: A Practical Evaluation and Toolkit","cs.AI"
"2512.20420v1","Simplifying Multi-Task Architectures Through Task-Specific Normalization","cs.AI"
"2512.20409v1","DETACH : Decomposed Spatio-Temporal Alignment for Exocentric Video and Ambient Sensors with Staged Learning","cs.AI"
"2512.20407v1","AUDRON: A Deep Learning Framework with Fused Acoustic Signatures for Drone Type Recognition","cs.AI"
"2512.20387v1","Generative Digital Twins: Vision-Language Simulation Models for Executable Industrial Systems","cs.AI"
"2512.20381v1","Identifying Appropriately-Sized Services with Deep Reinforcement Learning","cs.AI"
"2512.20363v1","Clust-PSI-PFL: A Population Stability Index Approach for Clustered Non-IID Personalized Federated Learning","cs.AI"
"2512.20352v1","Multi-LLM Thematic Analysis with Dual Reliability Metrics: Combining Cohen's Kappa and Semantic Similarity for Qualitative Research Validation","cs.AI"
"2512.20344v1","A DeepSeek-Powered AI System for Automated Chest Radiograph Interpretation in Clinical Practice","cs.AI"
"2512.20333v1","SynCraft: Guiding Large Language Models to Predict Edit Sequences for Molecular Synthesizability Optimization","cs.AI"
"2512.20328v1","Toward Explaining Large Language Models in Software Engineering Tasks","cs.AI"
"2512.20319v1","Deep Learning Classification of EEG Responses to Multi-Dimensional Transcranial Electrical Stimulation","cs.AI"
"2512.20312v1","TableGPT-R1: Advancing Tabular Reasoning Through Reinforcement Learning","cs.AI"
"2512.20299v1","KnowVal: A Knowledge-Augmented and Value-Guided Autonomous Driving System","cs.AI"
"2512.20298v1","Patterns vs. Patients: Evaluating LLMs against Mental Health Professionals on Personality Disorder Diagnosis through First-Person Narratives","cs.AI"
"2512.20296v1","TAVID: Text-Driven Audio-Visual Interactive Dialogue Generation","cs.AI"
"2512.20292v1","SlideTailor: Personalized Presentation Slide Generation for Scientific Papers","cs.AI"
"2512.20288v1","UbiQVision: Quantifying Uncertainty in XAI for Image Recognition","cs.AI"
"2512.20278v1","Synthesizing Procedural Memory: Challenges and Architectures in Automated Workflow Generation","cs.AI"
"2512.20276v1","ActionFlow: A Pipelined Action Acceleration for Vision Language Models on Edge","cs.AI"
"2512.20275v1","Graph-Symbolic Policy Enforcement and Control (G-SPEC): A Neuro-Symbolic Framework for Safe Agentic AI in 5G Autonomous Networks","cs.AI"
"2512.20260v1","${D}^{3}${ETOR}: ${D}$ebate-Enhanced Pseudo Labeling and Frequency-Aware Progressive ${D}$ebiasing for Weakly-Supervised Camouflaged Object ${D}$etection with Scribble Annotations","cs.AI"
"2512.20245v1","Memory as Resonance: A Biomimetic Architecture for Infinite Context Memory on Ergodic Phonetic Manifolds","cs.AI"
"2512.20237v1","MemR$^3$: Memory Retrieval via Reflective Reasoning for LLM Agents","cs.AI"
"2512.20206v1","TongSIM: A General Platform for Simulating Intelligent Machines","cs.AI"
"2512.20204v1","Corpus of Cross-lingual Dialogues with Minutes and Detection of Misunderstandings","cs.AI"
"2512.20188v1","Asynchronous Fast-Slow Vision-Language-Action Policies for Whole-Body Robotic Manipulation","cs.AI"
"2512.20182v1","FaithLens: Detecting and Explaining Faithfulness Hallucination","cs.AI"
"2512.20173v1","Offline Safe Policy Optimization From Heterogeneous Feedback","cs.AI"
"2512.20168v1","Odysseus: Jailbreaking Commercial Multimodal LLM-integrated Systems via Dual Steganography","cs.AI"
"2512.20164v1","AI Security Beyond Core Domains: Resume Screening as a Case Study of Adversarial Vulnerabilities in Specialized LLM Applications","cs.AI"
"2512.20162v1","Concept Generalization in Humans and Large Language Models: Insights from the Number Game","cs.AI"
"2512.20161v1","A Bidirectional Gated Recurrent Unit Model for PUE Prediction in Data Centers","cs.AI"
"2512.20159v1","AXIOM: Benchmarking LLM-as-a-Judge for Code via Rule-Based Perturbation and Multisource Quality Calibration","cs.AI"
"2512.20156v1","Fun-Audio-Chat Technical Report","cs.AI"
"2512.20145v1","Retrieval-augmented Prompt Learning for Pre-trained Foundation Models","cs.AI"
"2512.20140v1","Enhancing Zero-Shot Time Series Forecasting in Off-the-Shelf LLMs via Noise Injection","cs.AI"
"2512.20136v2","M$^3$KG-RAG: Multi-hop Multimodal Knowledge Graph-enhanced Retrieval-Augmented Generation","cs.AI"
"2512.20135v2","MolAct: An Agentic RL Framework for Molecular Editing and Property Optimization","cs.AI"
"2512.20112v1","Evolutionary Neural Architecture Search with Dual Contrastive Learning","cs.AI"
"2512.20111v1","ABBEL: LLM Agents Acting through Belief Bottlenecks Expressed in Language","cs.AI"
"2512.20088v1","Item Region-based Style Classification Network (IRSN): A Fashion Style Classifier Based on Domain Knowledge of Fashion Experts","cs.AI"
"2512.20086v1","Spatio-Temporal Graphs Beyond Grids: Benchmark for Maritime Anomaly Detection","cs.AI"
"2512.20084v1","QE-Catalytic: A Graph-Language Multimodal Base Model for Relaxed-Energy Prediction in Catalytic Adsorption","cs.AI"
"2512.20082v2","Adaptive Financial Sentiment Analysis for NIFTY 50 via Instruction-Tuned LLMs , RAG and Reinforcement Learning Approaches","cs.AI"
"2512.20080v1","CBA: Communication-Bound-Aware Cross-Domain Resource Assignment for Pipeline-Parallel Distributed LLM Training in Dynamic Multi-DC Optical Networks","cs.AI"
"2512.20074v1","Reason2Decide: Rationale-Driven Multi-Task Learning","cs.AI"
"2512.20062v1","On the Effectiveness of Instruction-Tuning Local LLMs for Identifying Software Vulnerabilities","cs.AI"
"2512.20061v1","Scaling Reinforcement Learning for Content Moderation with Large Language Models","cs.AI"
"2512.20056v1","Towards Generative Location Awareness for Disaster Response: A Probabilistic Cross-view Geolocalization Approach","cs.AI"
"2512.20053v1","An Optimal Policy for Learning Controllable Dynamics by Exploration","cs.AI"
"2512.20052v1","Learning Skills from Action-Free Videos","cs.AI"
"2512.20043v1","Discovering Lie Groups with Flow Matching","cs.AI"
"2512.20042v1","Beyond Vision: Contextually Enriched Image Captioning with Multi-Modal Retrieva","cs.AI"
"2512.20028v1","DecoKAN: Interpretable Decomposition for Forecasting Cryptocurrency Market Dynamics","cs.AI"
"2512.20014v1","Bring My Cup! Personalizing Vision-Language-Action Models with Visual Attentive Prompting","cs.AI"
"2512.20004v1","IoT-based Android Malware Detection Using Graph Neural Network With Adversarial Defense","cs.AI"
"2512.19995v1","Schoenfeld's Anatomy of Mathematical Reasoning by Language Models","cs.AI"
"2512.19992v1","S$^3$IT: A Benchmark for Spatially Situated Social Intelligence Test","cs.AI"
"2512.19980v1","Neuron-Guided Interpretation of Code LLMs: Where, Why, and How?","cs.AI"
"2512.19978v1","Regression of Functions by Quantum Neural Networks Circuits","cs.AI"
"2512.19960v1","FGDCC: Fine-Grained Deep Cluster Categorization -- A Framework for Intra-Class Variability Problems in Plant Classification","cs.AI"
"2512.19957v1","Zero-Shot Segmentation through Prototype-Guidance for Multi-Label Plant Species Identification","cs.AI"
"2512.19949v1","How Much 3D Do Video Foundation Models Encode?","cs.AI"
"2512.19941v1","Block-Recurrent Dynamics in Vision Transformers","cs.AI"
"2512.19937v1","Interpolative Decoding: Exploring the Spectrum of Personality Traits in LLMs","cs.AI"
"2512.19935v1","Conditional Adversarial Fragility in Financial Machine Learning under Macroeconomic Stress","cs.AI"
"2512.19934v1","Vehicle-centric Perception via Multimodal Structured Pre-training","cs.AI"
"2512.19928v1","Unified Brain Surface and Volume Registration","cs.AI"
"2512.19920v1","Mitigating LLM Hallucination via Behaviorally Calibrated Reinforcement Learning","cs.AI"
"2512.19914v1","A Time-efficient Prioritised Scheduling Algorithm to Optimise Initial Flock Formation of Drones","cs.AI"
"2512.19909v1","Modeling Non-Ergodic Path Effects Using Conditional Generative Model for Fourier Amplitude Spectra","cs.AI"
"2512.20688v1","Mechanism-Based Intelligence (MBI): Differentiable Incentives for Rational Coordination and Guaranteed Alignment in Multi-Agent Systems","cs.AI"
"2512.19905v1","Demystifying LLM-as-a-Judge: Analytically Tractable Model for Inference-Time Scaling","cs.AI"
"2512.19882v1","A Branch-and-Price Algorithm for Fast and Equitable Last-Mile Relief Aid Distribution","cs.AI"
"2512.19879v1","Fine-Tuned In-Context Learners for Efficient Adaptation","cs.AI"
"2512.19864v1","HARMON-E: Hierarchical Agentic Reasoning for Multimodal Oncology Notes to Extract Structured Data","cs.AI"
"2512.19849v1","UCCL-EP: Portable Expert-Parallel Communication","cs.AI"
"2512.20687v1","PHOTON: Hierarchical Autoregressive Modeling for Lightspeed and Memory-Efficient Language Generation","cs.AI"
"2512.19799v1","PhysMaster: Building an Autonomous AI Physicist for Theoretical and Computational Physics Research","cs.AI"
"2512.19691v1","Scalably Enhancing the Clinical Validity of a Task Benchmark with Physician Oversight","cs.AI"
"2512.19678v1","WorldWarp: Propagating 3D Geometry with Asynchronous Video Diffusion","cs.AI"
"2512.19673v1","Bottom-up Policy Optimization: Your Language Model Policy Secretly Contains Internal Policies","cs.AI"
"2512.19663v1","Beyond CLIP: Knowledge-Enhanced Multimodal Transformers for Cross-Modal Alignment in Diabetic Retinopathy Diagnosis","cs.AI"
"2512.19654v1","Clustering with Label Consistency","cs.AI"
"2512.19620v1","Exploring the features used for summary evaluation by Human and GPT","cs.AI"
"2512.19609v1","MapTrace: Scalable Data Generation for Route Tracing on Maps","cs.AI"
"2512.19576v2","LeLaR: The First In-Orbit Demonstration of an AI-Based Satellite Attitude Controller","cs.AI"
"2512.19570v1","The Epistemological Consequences of Large Language Models: Rethinking collective intelligence and institutional knowledge","cs.AI"
"2512.19569v1","Owning the Intelligence: Global AI Patents Landscape and Europe's Quest for Technological Sovereignty","cs.AI"
"2512.19564v1","Results of the 2024 CommonRoad Motion Planning Competition for Autonomous Vehicles","cs.AI"
"2512.19562v1","REALM: A Real-to-Sim Validated Benchmark for Generalization in Robotic Manipulation","cs.AI"
"2512.19560v1","BabyFlow: 3D modeling of realistic and expressive infant faces","cs.AI"
"2512.19557v1","Augmenting Intelligence: A Hybrid Framework for Scalable and Stable Explanations","cs.AI"
"2512.19554v1","CARE What Fails: Contrastive Anchored-REflection for Verifiable Multimodal","cs.AI"
"2512.19551v1","Towards Closed-Loop Embodied Empathy Evolution: Probing LLM-Centric Lifelong Empathic Motion Generation in Unseen Scenarios","cs.AI"
"2512.19535v1","CASA: Cross-Attention via Self-Attention for Efficient Vision-Language Fusion","cs.AI"
"2512.19530v1","Learning Continuous Solvent Effects from Transient Flow Data: A Graph Neural Network Benchmark on Catechol Rearrangement","cs.AI"
"2512.19526v1","QuantiPhy: A Quantitative Benchmark Evaluating Physical Reasoning Abilities of Vision-Language Models","cs.AI"
"2512.19516v1","LacaDM: A Latent Causal Diffusion Model for Multiobjective Reinforcement Learning","cs.AI"
"2512.19512v2","Anatomy-R1: Enhancing Anatomy Reasoning in Multimodal Large Language Models via Anatomical Similarity Curriculum and Group Diversity Augmentation","cs.AI"
"2512.19506v1","DK-STN: A Domain Knowledge Embedded Spatio-Temporal Network Model for MJO Forecast","cs.AI"
"2512.19494v1","Kolmogorov-Arnold Graph Neural Networks Applied to Inorganic Nanomaterials Dataset","cs.AI"
"2512.19481v1","A Dataset and Preliminary Study of Using GPT-5 for Code-change Impact Analysis","cs.AI"
"2512.19472v1","Multi-Layer Confidence Scoring for Detection of Out-of-Distribution Samples, Adversarial Attacks, and In-Distribution Misclassifications","cs.AI"
"2512.19458v1","An Agentic Framework for Autonomous Materials Computation","cs.AI"
"2512.19777v1","Learned Digital Codes for Over-the-Air Computation in Federated Edge Learning","cs.AI"
"2512.19456v1","Activations as Features: Probing LLMs for Generalizable Essay Scoring Representations","cs.AI"
"2512.19438v1","MT-Mark: Rethinking Image Watermarking via Mutual-Teacher Collaboration with Adaptive Feature Modulation","cs.AI"
"2512.19428v1","Attention Is Not What You Need","cs.AI"
"2512.19410v1","Research Program: Theory of Learning in Dynamical Systems","cs.AI"
"2512.19399v1","Brain-Grounded Axes for Reading and Steering LLM States","cs.AI"
"2512.19396v1","EchoTrail-GUI: Building Actionable Memory for GUI Agents via Critic-Guided Self-Exploration","cs.AI"
"2512.19387v1","DSTED: Decoupling Temporal Stabilization and Discriminative Enhancement for Surgical Workflow Recognition","cs.AI"
"2512.19379v1","OmniMER: Indonesian Multimodal Emotion Recognition via Auxiliary-Enhanced LLM Adaptation","cs.AI"
"2512.19367v1","Sprecher Networks: A Parameter-Efficient Kolmogorov-Arnold Architecture","cs.AI"
"2512.19366v1","Learning General Policies with Policy Gradient Methods","cs.AI"
"2512.19355v1","First-Order Representation Languages for Goal-Conditioned RL","cs.AI"
"2512.19350v1","PENDULUM: A Benchmark for Assessing Sycophancy in Multimodal Large Language Models","cs.AI"
"2512.19349v1","VIGOR+: Iterative Confounder Generation and Validation via LLM-CEVAE Feedback Loop","cs.AI"
"2512.19323v1","Alternative positional encoding functions for neural transformers","cs.AI"
"2512.19320v1","MAGIC: Achieving Superior Model Merging via Magnitude Calibration","cs.AI"
"2512.19317v1","SafeMed-R1: Adversarial Reinforcement Learning for Generalizable and Robust Medical Reasoning in Vision-Language Models","cs.AI"
"2512.19311v1","MixFlow Training: Alleviating Exposure Bias with Slowed Interpolation Mixture","cs.AI"
"2512.19299v1","Helios: A Foundational Language Model for Smart Energy Knowledge Reasoning and Application","cs.AI"
"2512.19297v1","Causal-Guided Detoxify Backdoor Attack of Open-Weight LoRA Models","cs.AI"
"2512.19287v1","Vibe Reasoning: Eliciting Frontier AI Mathematical Capabilities -- A Case Study on IMO 2025 Problem 6","cs.AI"
"2512.19280v1","Digital Twin-Driven Zero-Shot Fault Diagnosis of Axial Piston Pumps Using Fluid-Borne Noise Signals","cs.AI"
"2512.19275v1","Is Visual Realism Enough? Evaluating Gait Biometric Fidelity in Generative AI Human Animation","cs.AI"
"2512.19253v2","Machine Unlearning in the Era of Quantum Machine Learning: An Empirical Study","cs.AI"
"2512.19247v1","Auto-Prompting with Retrieval Guidance for Frame Detection in Logistics","cs.AI"
"2512.19240v1","ChemATP: A Training-Free Chemical Reasoning Framework for Large Language Models","cs.AI"
"2512.19238v1","Identifying Features Associated with Bias Against 93 Stigmatized Groups in Language Models and Guardrail Model Safety Mitigation","cs.AI"
"2512.19234v1","DeliveryBench: Can Agents Earn Profit in Real World?","cs.AI"
"2512.19228v1","Generation of Programmatic Rules for Document Forgery Detection Using Large Language Models","cs.AI"
"2512.19221v1","From Pixels to Predicates Structuring urban perception with scene graphs","cs.AI"
"2512.19219v1","Towards Minimal Fine-Tuning of VLMs","cs.AI"
"2512.19210v1","Observer, Not Player: Simulating Theory of Mind in LLMs through Game Observation","cs.AI"
"2512.19206v1","MixKVQ: Query-Aware Mixed-Precision KV Cache Quantization for Long-Context Reasoning","cs.AI"
"2512.19199v1","On the Koopman-Based Generalization Bounds for Multi-Task Deep Learning","cs.AI"
"2512.19772v1","A K-Means, Ward and DBSCAN repeatability study","cs.AI"
"2512.19184v1","Operator-Based Generalization Bound for Deep Learning: Insights on Multi-Task Learning","cs.AI"
"2512.19180v1","Practical Quantum-Classical Feature Fusion for complex data Classification","cs.AI"
"2512.19178v1","Vision-Language-Policy Model for Dynamic Robot Task Planning","cs.AI"
"2512.19155v1","Can We Test Consciousness Theories on AI? Ablations, Markers, and Robustness","cs.AI"
"2512.19154v1","Beyond Sliding Windows: Learning to Manage Memory in Non-Markovian Environments","cs.AI"
"2512.19135v1","Understanding Chain-of-Thought in Large Language Models via Topological Data Analysis","cs.AI"
"2512.19114v1","HyperLoad: A Cross-Modality Enhanced Large Language Model-Based Framework for Green Data Center Cooling Load Prediction","cs.AI"
"2512.19107v1","FC-MIR: A Mobile Screen Awareness Framework for Intent-Aware Recommendation based on Frame-Compressed Multimodal Trajectory Reasoning","cs.AI"
"2512.19097v1","DIVER-1 : Deep Integration of Vast Electrophysiological Recordings at Scale","cs.AI"
"2512.19096v1","Conditioning Accept-Desirability models in the context of AGM-like belief change","cs.AI"
"2512.19093v1","Tool-Augmented Hybrid Ensemble Reasoning with Distillation for Bilingual Mathematical Problem Solving","cs.AI"
"2512.19084v1","$γ(3,4)$ `Attention' in Cognitive Agents: Ontology-Free Knowledge Representations With Promise Theoretic Semantics","cs.AI"
"2512.19081v1","Population-Evolve: a Parallel Sampling and Evolutionary Method for LLM Math Reasoning","cs.AI"
"2512.19069v1","Can abstract concepts from LLM improve SLM performance?","cs.AI"
"2512.19061v1","Fraud Detection Through Large-Scale Graph Clustering with Heterogeneous Link Transformation","cs.AI"
"2512.19769v1","A Declarative Language for Building And Orchestrating LLM-Powered Agent Workflows","cs.AI"
"2512.19027v1","Recontextualization Mitigates Specification Gaming without Modifying the Specification","cs.AI"
"2512.19026v1","Finer-Personalization Rank: Fine-Grained Retrieval Examines Identity Preservation for Personalized Generation","cs.AI"
"2512.19025v2","The Erasure Illusion: Stress-Testing the Generalization of LLM Forgetting Evaluation","cs.AI"
"2512.19024v1","IndoorUAV: Benchmarking Vision-Language UAV Navigation in Continuous Indoor Environments","cs.AI"
"2512.19011v1","Efficient Jailbreak Mitigation Using Semantic Linear Classification in a Multi-Staged Pipeline","cs.AI"
"2512.19007v1","The 6th International Verification of Neural Networks Competition (VNN-COMP 2025): Summary and Results","cs.AI"
"2512.19004v1","Context-Aware Initialization for Reducing Generative Path Length in Diffusion Language Models","cs.AI"
"2512.19001v1","ORPR: An OR-Guided Pretrain-then-Reinforce Learning Model for Inventory Management","cs.AI"
"2512.18999v1","Evaluating the Challenges of LLMs in Real-world Medical Follow-up: A Comparative Study and An Optimized Framework","cs.AI"
"2512.18991v1","ICP-4D: Bridging Iterative Closest Point and LiDAR Panoptic Segmentation","cs.AI"
"2512.18986v1","R-GenIMA: Integrating Neuroimaging and Genetics with Interpretable Multimodal AI for Alzheimer's Disease Progression","cs.AI"
"2512.18969v1","Self-Attention with State-Object Weighted Combination for Compositional Zero Shot Learning","cs.AI"
"2512.18956v1","Training Multimodal Large Reasoning Models Needs Better Thoughts: A Three-Stage Framework for Long Chain-of-Thought Synthesis and Selection","cs.AI"
"2512.18950v1","Learning Hierarchical Procedural Memory for LLM Agents through Bayesian Selection and Contrastive Refinement","cs.AI"
